,city_code,Settlement_Council,econ_per_capita,vice_per_capita,property_per_capita,sex_per_capita,fraud_per_capita,body_per_capita,public_order_per_capita,traffic_per_capita,other_per_capita,license_per_capita,person_per_capita,security_per_capita,administrative_per_capita,last_city_type
721,0485,ג'וליס,0.0,0.009849626786426527,0.027458419359233675,0.0,0.07871413549646988,0.0,0.11122912455425513,0.0,0.23758449752140604,0.06891510547436641,0.0,0.0,0.0,3.0
722,0485,ג'וליס,0.0,0.0,0.04393347097477389,0.0,0.03935706774823494,0.05060194424773064,0.07197178647628273,0.0,0.0,0.0,0.0,0.0,0.0,3.0
723,0485,ג'וליס,0.0,0.0,0.021966735487386944,0.0,0.03935706774823494,0.033734629498487094,0.0588860071169586,0.0,0.0,0.0,0.0,0.0,0.0,3.0
724,0485,ג'וליס,0.050783313223528956,0.0,0.03844178710292715,0.0,0.0,0.16867314749243545,0.10468623487459307,0.0,0.0,0.0,0.1202081728183285,0.0,0.0,3.0
725,0485,ג'וליס,0.0,0.0,0.06590020646216083,0.0,0.03935706774823494,0.15180583274319193,0.1177720142339172,0.061799609433678834,0.0,0.06891510547436641,0.0,0.0,0.048614240648940966,3.0
726,0485,ג'וליס,0.0,0.0,0.04942515484662063,0.0,0.07871413549646988,0.15180583274319193,0.1374006832729034,0.0,0.0,0.0,0.0,0.0,0.0,3.0
727,0485,ג'וליס,0.0,0.029548880359279578,0.05491683871846735,0.0,0.15742827099293977,0.16867314749243545,0.14394357295256546,0.0,0.03959741625356767,0.0,0.0,0.0,0.0,3.0
728,0485,ג'וליס,0.0,0.009849626786426527,0.06040852259031409,0.0,0.11807120324470483,0.0,0.1374006832729034,0.0,0.19798708126783834,0.06891510547436641,0.0,0.0,0.0,3.0
729,0485,ג'וליס,0.0,0.0,0.04393347097477389,0.0,0.11807120324470483,0.11807120324470483,0.196286690389862,0.0,0.0,0.06891510547436641,0.0,0.0,0.0,3.0
730,0485,ג'וליס,0.0,0.029548880359279578,0.06040852259031409,0.0,0.03935706774823494,0.20240777699092255,0.11122912455425513,0.0,0.03959741625356767,0.0,0.0,0.0,0.0,3.0
